,Questions,Answers
3094,"no, i hate vegetables.",but you eat fruits.
3095,but you eat fruits.,"i eat two apples, one banana, and one orange every day."
3096,"i eat two apples, one banana, and one orange every day.","well, there's nothing wrong with that."
3097,there's something wrong with my orange.,what's wrong?
3098,what's wrong?,it's not orange!
3099,it's not orange!,your orange isn't orange?
3100,your orange isn't orange?,"no, it's dark pink!"
3101,"no, it's dark pink!",are you sure? i never heard of such a thing.
3102,are you sure? i never heard of such a thing.,"i just peeled it, and i'm looking at it right now."
3103,"i just peeled it, and i'm looking at it right now.","let me see. yes, you're right. your orange is pink."
3104,"let me see. yes, you're right. your orange is pink.",who ever heard of such a thing?
3105,who ever heard of such a thing?,"oh, look. here's the little sticker that was on it. it's called a pink navel."
3106,"oh, look. here's the little sticker that was on it. it's called a pink navel.",what is this world coming to?
3107,what is this world coming to?,who knows? maybe soon we'll have pink bananas.
3108,i love peanuts.,"me, too. i love them roasted and salted."
3109,"me, too. i love them roasted and salted.",i love boiled peanuts.
3110,i love boiled peanuts.,boiled? i never heard of that.
3111,boiled? i never heard of that.,just boil raw peanuts in salt water until the shells are soft.
3112,just boil raw peanuts in salt water until the shells are soft.,i'll have to try them sometime.
3113,i'll have to try them sometime.,they're best when they're hot.
3114,they're best when they're hot.,my brother is allergic to peanuts.
3115,my brother is allergic to peanuts.,that's not good.
3116,that's not good.,"no, it isn't. he almost died when he was little."
3117,"no, it isn't. he almost died when he was little.",i guess he has to be very careful about what he eats.
3118,i guess he has to be very careful about what he eats.,he has a very strict diet.
3119,i'm gaining weight.,how much have you gained?
3120,how much have you gained?,three pounds just this month.
3121,three pounds just this month.,do you know why?
3122,do you know why?,i think it's the ice cream.
3123,i think it's the ice cream.,you started eating ice cream?
3124,you started eating ice cream?,it was on sale.
3125,it was on sale.,how much did you buy?
3126,how much did you buy?,i filled up my freezer with ice cream.
3127,i filled up my freezer with ice cream.,"well, it won't last forever."
3128,"well, it won't last forever.","no, i figure i'll finish it all by next week."
3129,"no, i figure i'll finish it all by next week.","then you can start losing weight, if there isn't another sale."
3130,i'm stuffed.,of course you are. you ate everything on the table.
3131,of course you are. you ate everything on the table.,i don't like to eat leftovers.
3132,i don't like to eat leftovers.,i'm glad to hear there's something you don't like to eat.
3133,i'm glad to hear there's something you don't like to eat.,i like my food hot and fresh.
3134,i like my food hot and fresh.,you like to see it disappear.
3135,you like to see it disappear.,i don't like it reheated.
3136,i don't like it reheated.,"well, you'll have hot fresh food tomorrow night."
3137,"well, you'll have hot fresh food tomorrow night.",i'm so full i'm going to burst.
3138,i'm so full i'm going to burst.,you should loosen your belt.
3139,you should loosen your belt.,i already loosened my belt and unbuttoned my pants.
3140,i already loosened my belt and unbuttoned my pants.,"well, don't stand up, please."
3141,i saw what you did.,i didn't do anything.
3142,i didn't do anything.,"oh yes, you did."
3143,"oh yes, you did.",what are you talking about?
3144,what are you talking about?,you know what i'm talking about.
3145,you know what i'm talking about.,i don't have any idea.
3146,i don't have any idea.,you know what you did.
3147,you know what you did.,"maybe i know, but how could you know?"
3148,"maybe i know, but how could you know?",because i was watching you.
3149,because i was watching you.,"okay, i'm sorry i did it."
3150,"okay, i'm sorry i did it.",don't drink milk out of the carton. use a glass!
3151,don't drink milk out of the carton. use a glass!,i promise i'll never drink out of the carton again.
3152,i like that shirt.,so do i.
3153,so do i.,how much is it?
3154,how much is it?,i don't know. the tag is missing.
3155,i don't know. the tag is missing.,ask the clerk.
3156,ask the clerk.,i will.
3157,i will.,"oh, look. here's another shirt just like it."
3158,"oh, look. here's another shirt just like it.",does it have a price tag?
3159,does it have a price tag?,"yes, it does. it's only $20."
3160,"yes, it does. it's only $20.",that's a great price.
3161,that's a great price.,i think i'll buy both of them.
3162,i think i'll buy both of them.,you'd better try them on first.
3163,i bought you a pair of pants.,thank you.
3164,thank you.,i hope they fit.
3165,i hope they fit.,i hope you kept the receipt.
3166,i hope you kept the receipt.,you think they won't fit?
3167,you think they won't fit?,i think i've put on some weight.
3168,i think i've put on some weight.,you think?
3169,you think?,maybe a pound or two.
3170,maybe a pound or two.,maybe four or five pounds?
3171,maybe four or five pounds?,my waist is bigger than it was.
3172,my waist is bigger than it was.,no problem. these pants have an elastic waistband.
3173,no problem. these pants have an elastic waistband.,you are so smart!
3174,what do we need to buy?,let me look at our list.
3175,let me look at our list.,i know that we need milk.
3176,i know that we need milk.,nonfat.
3177,nonfat.,of course. what else?
3178,of course. what else?,"we need cheese, bread, and ham."
3179,"we need cheese, bread, and ham.",what kind of cheese?
3180,what kind of cheese?,swiss.
3181,swiss.,"of course, the cheese with holes in it."
3182,"of course, the cheese with holes in it.",i never used to buy swiss cheese.
3183,i never used to buy swiss cheese.,why not?
3184,why not?,i didn't want to pay for the holes.
3185,i need some pants.,i thought you just bought a pair.
3186,i thought you just bought a pair.,i did.
3187,i did.,what's wrong with them so soon?
3188,what's wrong with them so soon?,"the pants are fine, but the pocket has a huge hole in it."
3189,"the pants are fine, but the pocket has a huge hole in it.",you shouldn't carry your keys and pens in your pocket.
3190,you shouldn't carry your keys and pens in your pocket.,but that's what pockets are for.
3191,but that's what pockets are for.,you should carry them in a purse.
3192,you should carry them in a purse.,"i'm a man, and men don't carry purses!"
3193,"i'm a man, and men don't carry purses!","well, you should buy pants with stronger pockets."
3194,"well, you should buy pants with stronger pockets.",i would if i could find someone who makes strong pockets.
3195,i would if i could find someone who makes strong pockets.,try a google search online.
3196,what are those wipes for?,you use them to wipe the handle of the shopping cart.
3197,you use them to wipe the handle of the shopping cart.,that's a great idea.
3198,that's a great idea.,"yes, all the markets just started offering wipes to shoppers."
3199,"yes, all the markets just started offering wipes to shoppers.",i'm going to take five wipes.
3200,i'm going to take five wipes.,what do you need five of them for?
3201,what do you need five of them for?,"one to wipe the handle, and the others to wipe the produce."
3202,"one to wipe the handle, and the others to wipe the produce.",what's the matter with the produce?
3203,what's the matter with the produce?,do you think the bananas fell from the sky?
3204,do you think the bananas fell from the sky?,what do you mean?
3205,what do you mean?,"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges."
3206,"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges.","well, you better save a wipe for the dirty dollar bills you're going to pay with."
3207,did you go to the 99 cents store?,"yes, i did."
3208,"yes, i did.",what did you buy?
3209,what did you buy?,"well, i got a lot of good deals, as usual."
3210,"well, i got a lot of good deals, as usual.",like what?
3211,like what?,"well, a dozen large eggs were only 99 cents."
3212,"well, a dozen large eggs were only 99 cents.",that's a good deal.
3213,that's a good deal.,and a one-pound tub of soft butter was the same price.
3214,and a one-pound tub of soft butter was the same price.,another good deal.
3215,another good deal.,but the best deal was five pounds of potatoes for 99 cents.
3216,but the best deal was five pounds of potatoes for 99 cents.,i don't know how that store makes money.
3217,i don't know how that store makes money.,"neither do i, but they're doing something right."
3218,i need a new computer.,what's the matter with yours?
3219,what's the matter with yours?,it's six years old.
3220,it's six years old.,that's pretty old.
3221,that's pretty old.,"it still works, but i'm going to give it to a charity."
3222,"it still works, but i'm going to give it to a charity.",are you going to buy a desktop or laptop?
3223,are you going to buy a desktop or laptop?,"oh, a laptop, of course."
3224,"oh, a laptop, of course.",a pc or a mac?
3225,a pc or a mac?,i haven't decided yet.
3226,i haven't decided yet.,more and more people are using macs.
3227,more and more people are using macs.,but 90 percent of the world uses pcs.
3228,but 90 percent of the world uses pcs.,and that's not going to change anytime soon.
3229,i got ripped off.,what happened?
3230,what happened?,"i had a car problem, so i went online."
3231,"i had a car problem, so i went online.",did you find a solution?
3232,did you find a solution?,"yes, i did. a site i went to said they would send me the solution."
3233,"yes, i did. a site i went to said they would send me the solution.","so, what's the problem?"
3234,"so, what's the problem?","i sent them $20 using my credit card, but they never sent me the solution."
3235,"i sent them $20 using my credit card, but they never sent me the solution.",what are you going to do?
3236,what are you going to do?,i sent them an email asking for my money back.
3237,i sent them an email asking for my money back.,have you heard from them?
3238,have you heard from them?,not yet. it's been a week.
3239,not yet. it's been a week.,"well, i guess that's a $20 lesson for you."
3240,where's the pencil sharpener?,which one?
3241,which one?,any one. i need to sharpen this pencil.
3242,any one. i need to sharpen this pencil.,i think there's one on the dining room table.
3243,i think there's one on the dining room table.,i already looked there.
3244,i already looked there.,did you look in the desk drawer?
3245,did you look in the desk drawer?,"yes, i looked there, too."
3246,"yes, i looked there, too.",don't we have about five sharpeners?
3247,don't we have about five sharpeners?,"yes, but they seem to have legs."
3248,"yes, but they seem to have legs.",tomorrow i'm going to buy an electric sharpener.
3249,tomorrow i'm going to buy an electric sharpener.,get one with the rubber suction cups on the bottom.
3250,get one with the rubber suction cups on the bottom.,yes. that way it will stay where i put it.
3251,i'm trying to stretch my dollars.,how are you doing that?
3252,how are you doing that?,i started shopping at the dollar store.
3253,i started shopping at the dollar store.,that saves a lot of money.
3254,that saves a lot of money.,i bought three pounds of potatoes for a dollar.
3255,i bought three pounds of potatoes for a dollar.,that's a good deal.
3256,that's a good deal.,"yes, even though some of the potatoes had eyes."
3257,"yes, even though some of the potatoes had eyes.",just put them in the fridge.
3258,just put them in the fridge.,"also, i bought a can of cheap coffee and a bag of good coffee."
3259,"also, i bought a can of cheap coffee and a bag of good coffee.",why did you do that?
3260,why did you do that?,i mixed them together.
3261,i mixed them together.,"if the coffee still tastes okay, that's a good idea."
3262,i really like this house.,can we afford it?
3263,can we afford it?,they want 20 percent down.
3264,they want 20 percent down.,that's a lot of money.
3265,that's a lot of money.,but the house is so nice.
3266,but the house is so nice.,it's in a great neighborhood.
3267,it's in a great neighborhood.,it's close to the beach.
3268,it's close to the beach.,it's close to the freeways.
3269,it's close to the freeways.,it's got a big yard.
3270,it's got a big yard.,"the kids love the house, too."
3271,"the kids love the house, too.","if we don't buy it, someone else will."
3272,"if we don't buy it, someone else will.",you're right. let's buy it now. we can worry later.
3273,we can't afford this house.,are you sure?
3274,are you sure?,"we will be house rich, but cash poor."
3275,"we will be house rich, but cash poor.",what do you mean?
3276,what do you mean?,our monthly payments will be too high.
3277,our monthly payments will be too high.,we won't have any money for other things?
3278,we won't have any money for other things?,"no, we won't have money for gas or food."
3279,"no, we won't have money for gas or food.",we'll be eating peanut butter sandwiches?
3280,we'll be eating peanut butter sandwiches?,without the peanut butter!
3281,without the peanut butter!,that's no good!
3282,that's no good!,we have to find a cheaper house.
3283,we have to find a cheaper house.,of course. we can't live without gas or peanut butter.
3284,that is a beautiful house.,i don't like it.
3285,i don't like it.,what's the matter with it?
3286,what's the matter with it?,it's on the corner.
3287,it's on the corner.,so?
3288,so?,that means it gets twice as much traffic.
3289,that means it gets twice as much traffic.,you're right.
3290,you're right.,"when you're inside, you will always hear cars stopping and stopping at the intersection."
3291,"when you're inside, you will always hear cars stopping and stopping at the intersection.",or you'll hear the collision if someone doesn't stop.
3292,or you'll hear the collision if someone doesn't stop.,or you'll see the collision if they crash into the house.
3293,or you'll see the collision if they crash into the house.,let's find a house that's at the end of a dead end.
3294,let's find a house that's at the end of a dead end.,"that's perfect. the less traffic, the better."
3295,i hate looking for an apartment.,"me, too."
3296,"me, too.",we have a 2 o'clock appointment to see the one on main street.
3297,we have a 2 o'clock appointment to see the one on main street.,we'd better get ready to go.
3298,we'd better get ready to go.,it's an upstairs unit.
3299,it's an upstairs unit.,"that's good, because i don't want to live under people with loud feet."
3300,"that's good, because i don't want to live under people with loud feet.",and it's a corner unit.
3301,and it's a corner unit.,that's great. we won't have neighbors on both sides of us.
3302,that's great. we won't have neighbors on both sides of us.,no pets are allowed.
3303,no pets are allowed.,perfect. we don't have to listen to barking dogs.
3304,perfect. we don't have to listen to barking dogs.,and there are only six units in the whole building.
3305,and there are only six units in the whole building.,where's the checkbook? i'm ready to rent it without even seeing it.
3306,did you call the manager?,yes. he said he'd come over tomorrow.
3307,yes. he said he'd come over tomorrow.,did he say what time?
3308,did he say what time?,yes. he said he'd be here at 9 o'clock.
3309,yes. he said he'd be here at 9 o'clock.,did he understand what the problem is?
3310,did he understand what the problem is?,yes. i told him our doorbell doesn't work.
3311,yes. i told him our doorbell doesn't work.,it shouldn't take him long to fix it.
3312,it shouldn't take him long to fix it.,i don't even know why we need to fix it.
3313,i don't even know why we need to fix it.,in case we have visitors.
3314,in case we have visitors.,but they can just knock on the door.
3315,but they can just knock on the door.,"actually, i want him to look at our carpet, too."
3316,"actually, i want him to look at our carpet, too.","yes, it would be nice if he'd give us a new carpet."
3317,do you like this house?,"yes, it's beautiful."
3318,"yes, it's beautiful.",it's perfect for us and the kids.
3319,it's perfect for us and the kids.,"three bedrooms, three bathrooms, and a big back yard."
3320,"three bedrooms, three bathrooms, and a big back yard.",and we can afford it!
3321,and we can afford it!,so are we going to buy it?
3322,so are we going to buy it?,i'm afraid not.
3323,i'm afraid not.,"it's too far from your job, isn't it?"
3324,"it's too far from your job, isn't it?",i can't spend four hours on the road every day.
3325,i can't spend four hours on the road every day.,"by the time you get home, you'll be too tired to even eat."
3326,"by the time you get home, you'll be too tired to even eat.",i won't be able to play with the kids.
3327,i won't be able to play with the kids.,"no, we have to find something closer to your job."
3328,"boy, it's chilly outside, isn't it?",it sure is.
3329,it sure is.,"in fact, it's chilly in the apartment, too."
3330,"in fact, it's chilly in the apartment, too.",let's turn on the heat.
3331,let's turn on the heat.,i'll check to make sure that all the windows are shut.
3332,i'll check to make sure that all the windows are shut.,it should be warmer in a few minutes.
3333,it should be warmer in a few minutes.,it's so nice to have a heated apartment.
3334,it's so nice to have a heated apartment.,how did they survive in the old days?
3335,how did they survive in the old days?,they had fireplaces.
3336,they had fireplaces.,someone had to chop the wood.
3337,someone had to chop the wood.,and carry it into the house.
3338,and carry it into the house.,all we have to do is flip a switch.
3339,this is a nice neighborhood.,the streets are clean and quiet.
3340,the streets are clean and quiet.,the neighbors don't party on the weekends.
3341,the neighbors don't party on the weekends.,people take care of their lawns.
3342,people take care of their lawns.,no rusty old cars are sitting in the front yards.
3343,no rusty old cars are sitting in the front yards.,we never have to call the police about anything.
3344,we never have to call the police about anything.,our kids are completely safe.
3345,our kids are completely safe.,so why are we selling our house?
3346,so why are we selling our house?,they're building a 3-story apartment building on the corner.
3347,they're building a 3-story apartment building on the corner.,so we've got to sell before property values go down?
3348,so we've got to sell before property values go down?,yes. i still can't believe our city council allowed this building.
3349,yes. i still can't believe our city council allowed this building.,they're probably getting something under the table.
3350,that was a huge fire in santa barbara.,"yes, it was."
3351,"yes, it was.",they said about 30 houses burned to the ground.
3352,they said about 30 houses burned to the ground.,and they were expensive houses.
3353,and they were expensive houses.,i feel so sorry for those people.
3354,i feel so sorry for those people.,why feel sorry for rich people?
3355,why feel sorry for rich people?,i feel sorry for anyone who loses their home.
3356,i feel sorry for anyone who loses their home.,"so do i, but not if they're rich."
3357,"so do i, but not if they're rich.",what does that have to do with it?
3358,what does that have to do with it?,rich people think they're better than us.
3359,rich people think they're better than us.,how many rich people do you know?
3360,how many rich people do you know?,none.
3361,bears are invading our neighborhoods.,of course they are. they're starving to death.
3362,of course they are. they're starving to death.,they should stay in the woods where they belong.
3363,they should stay in the woods where they belong.,there's no food in the woods.
3364,there's no food in the woods.,can't they eat grass?
3365,can't they eat grass?,do you think a bear is a cow?
3366,do you think a bear is a cow?,"well, i've seen them eating berries."
3367,"well, i've seen them eating berries.",berries aren't in season all year round.
3368,berries aren't in season all year round.,it's too dangerous for kids and pets.
3369,it's too dangerous for kids and pets.,people need to cover their trash cans.
3370,people need to cover their trash cans.,the police need to shoot all the bears.
3371,the police need to shoot all the bears.,you don't solve a problem by shooting it.
3372,who did you vote for?,i voted for obama.
3373,i voted for obama.,me too.
3374,me too.,he will be a great president.
3375,he will be a great president.,everyone likes him.
3376,everyone likes him.,he's a good speaker.
3377,he's a good speaker.,and he's really smart.
3378,and he's really smart.,he will solve our problems.
3379,he will solve our problems.,he will end the war.
3380,he will end the war.,the next four years will be good years.
3381,the next four years will be good years.,"i'll vote for him next time, too."
3382,"i'll vote for him next time, too.",i think everyone will.
3383,the election is next week.,who are you voting for?
3384,who are you voting for?,i'm not voting for the mayor.
3385,i'm not voting for the mayor.,why not?
3386,why not?,he made promises that he didn't keep.
3387,he made promises that he didn't keep.,like what?
3388,like what?,"he promised to hire 1,000 more police officers."
3389,"he promised to hire 1,000 more police officers.",how many did he hire?
3390,how many did he hire?,one hundred!
3391,one hundred!,maybe he had a good reason.
3392,maybe he had a good reason.,maybe he's just a liar.
3393,maybe he's just a liar.,"maybe i'll vote for someone else, too."
3394,i can't believe he won the election.,only 15 percent of the voters turned out.
3395,only 15 percent of the voters turned out.,that is a joke.
3396,that is a joke.,"voting is so important, but people don't bother."
3397,"voting is so important, but people don't bother.",many people think their vote doesn't matter.
3398,many people think their vote doesn't matter.,"the mayor won by only 2,000 votes."
3399,"the mayor won by only 2,000 votes.",we're stuck with him for four more years.
3400,we're stuck with him for four more years.,voting is so easy. you can even mail your ballot in.
3401,voting is so easy. you can even mail your ballot in.,all you have to do is vote and put a stamp on it.
3402,all you have to do is vote and put a stamp on it.,how easy is that?
3403,how easy is that?,i guess people just don't care.
3404,i guess people just don't care.,they'll care when they see their taxes go up.
3405,"well, we have a new president.",but we have the same old problems.
3406,but we have the same old problems.,"well, he's made a few changes."
3407,"well, he's made a few changes.",like what?
3408,like what?,i think he closed the bowling alley in the white house.
3409,i think he closed the bowling alley in the white house.,"oh, yeah. he's changing it to a basketball court."
3410,"oh, yeah. he's changing it to a basketball court.",who's paying for that?
3411,who's paying for that?,i think we are!
3412,i think we are!,"well, that's okay, as long as it helps him relax and think more clearly."
3413,"well, that's okay, as long as it helps him relax and think more clearly.","yes, we need a relaxed president who thinks clearly."
3414,"yes, we need a relaxed president who thinks clearly.",do any other world leaders have a basketball court?
3415,do any other world leaders have a basketball court?,they will. you know america always leads the way.
3416,people say that everybody loves obama.,"well, more than 50 million people voted for mccain."
3417,"well, more than 50 million people voted for mccain.",that's 50 million people who don't love obama.
3418,that's 50 million people who don't love obama.,obama's got four years to make everyone happy.
3419,obama's got four years to make everyone happy.,he's never going to make everyone happy.
3420,he's never going to make everyone happy.,can you imagine being president?
3421,can you imagine being president?,everyone wants you to solve their problems.
3422,everyone wants you to solve their problems.,i have enough stress from trying to solve my own problems.
3423,i have enough stress from trying to solve my own problems.,you and everybody else.
3424,you and everybody else.,i would never want to be president.
3425,i would never want to be president.,but think about all the power you'd have.
3426,but think about all the power you'd have.,i prefer my quiet little life to all the power in the world.
3427,did you read this article?,what article?
3428,what article?,it says the mayor spends only 11 percent of his time on city duties.
3429,it says the mayor spends only 11 percent of his time on city duties.,only 11 percent?
3430,only 11 percent?,about 50 percent of the time he's traveling.
3431,about 50 percent of the time he's traveling.,where does he travel to?
3432,where does he travel to?,"oh, all over the world."
3433,"oh, all over the world.",but he's supposed to be making our city a better place.
3434,but he's supposed to be making our city a better place.,he's visiting other cities to get ideas.
3435,he's visiting other cities to get ideas.,can't he just go online?
3436,can't he just go online?,the rest of the time he's raising money for his reelection.
3437,the rest of the time he's raising money for his reelection.,"well, he'll never get reelected once this news gets out."
3438,who did you vote for for president?,i voted for ralph nader.
3439,i voted for ralph nader.,who in the world is ralph nader?
3440,who in the world is ralph nader?,he's the best man for president.
3441,he's the best man for president.,why's that?
3442,why's that?,he hates corporations.
3443,he hates corporations.,"well, most corporations do think only about money."
3444,"well, most corporations do think only about money.",he hates democrats and republicans.
3445,he hates democrats and republicans.,"well, they do put their party before their country."
3446,"well, they do put their party before their country.",he's the only candidate that i trust.
3447,he's the only candidate that i trust.,but he didn't have a chance. nobody voted for him!
3448,but he didn't have a chance. nobody voted for him!,"sooner or later, voters will wake up."
3449,i don't know why i bother to vote.,why's that?
3450,why's that?,what good does it do?
3451,what good does it do?,you get to put someone in power that you like.
3452,you get to put someone in power that you like.,only if my candidate wins.
3453,only if my candidate wins.,"well, he can't win unless you and others vote for him."
3454,"well, he can't win unless you and others vote for him.","but even if my candidate wins, he'll break his promises."
3455,"but even if my candidate wins, he'll break his promises.",that's true. they promise anything just so they get elected.
3456,that's true. they promise anything just so they get elected.,"and when elected, they go their own way."
3457,"and when elected, they go their own way.",they forget who put them in power.
3458,they forget who put them in power.,they forget where they came from.
3459,they forget where they came from.,maybe you should run for office.
3460,that election for u.s. senator stunk.,what do you mean?
3461,what do you mean?,there were more votes than voters!
3462,there were more votes than voters!,but that's impossible.
3463,but that's impossible.,officials said that it's possible.
3464,officials said that it's possible.,did they explain how it's possible?
3465,did they explain how it's possible?,no. they said there are some things you can't explain.
3466,no. they said there are some things you can't explain.,so are they going to hold another election?
3467,so are they going to hold another election?,no. that will cost too much money.
3468,no. that will cost too much money.,so it's better to save money than to have an honest election?
3469,so it's better to save money than to have an honest election?,"well, the democratic party says it was an honest election."
3470,"well, the democratic party says it was an honest election.",of course they say thatÂ—their man won!
3471,i see that former president bush is at a conference.,yes. he's telling jokes about his eight years as president.
3472,yes. he's telling jokes about his eight years as president.,"yes, those eight years were a lot of fun for everyone."
3473,"yes, those eight years were a lot of fun for everyone.","only 4,000 american soldiers were killed overseas."
3474,"only 4,000 american soldiers were killed overseas.","not to mention 40,000 wounded soldiers."
3475,"not to mention 40,000 wounded soldiers.",but bush visited some of them in the hospital once.
3476,but bush visited some of them in the hospital once.,that's nice that he found the time to make a visit.
3477,that's nice that he found the time to make a visit.,he spoke to them and made them feel better.
3478,he spoke to them and made them feel better.,did he speak to every family that lost a soldier?
3479,did he speak to every family that lost a soldier?,"no, he didn't have time to do that."
3480,"no, he didn't have time to do that.","well, he's got plenty of time now!"
3481,"well, he's got plenty of time now!","no, he's too busy writing a book about how hard it was to be president."
3482,did you get your official sample ballot?,"yes, with the voter instructions."
3483,"yes, with the voter instructions.",how are you going to vote?
3484,how are you going to vote?,"same as ever, by mail. all it costs me is a 42-cent stamp."
3485,"same as ever, by mail. all it costs me is a 42-cent stamp.","i meant, are you going to vote for or against the new taxes?"
3486,"i meant, are you going to vote for or against the new taxes?","against all of them, of course."
3487,"against all of them, of course.","but we need new taxes to pay for highways, schools, and prisons."
3488,"but we need new taxes to pay for highways, schools, and prisons.",we've already voted for new taxes to pay for all that stuff!
3489,we've already voted for new taxes to pay for all that stuff!,that's true. where did that money go?
3490,that's true. where did that money go?,our legislators spent it on first-class travel all over the world.
3491,our legislators spent it on first-class travel all over the world.,they are having a good time with our money.
3492,they are having a good time with our money.,so when are we going to stop giving them more?
3493,have you decided how you are going to vote?,"do you mean on measures 1, 2, and 3?"
3494,"do you mean on measures 1, 2, and 3?","yes. the ones that will improve our schools, roads, and hospitals."
3495,"yes. the ones that will improve our schools, roads, and hospitals.",you mean the measures that will raise our taxes.
3496,you mean the measures that will raise our taxes.,but the tv ads say that our taxes will not increase.
3497,but the tv ads say that our taxes will not increase.,do you believe the tv ads?
3498,do you believe the tv ads?,i like the one where the fireman tells us why we should vote yes.
3499,i like the one where the fireman tells us why we should vote yes.,"don't believe him! whatever the tv ads tell you, the opposite is true."
3500,"don't believe him! whatever the tv ads tell you, the opposite is true.","but the title of measure 1 is ""better schools at no cost."""
3501,"but the title of measure 1 is ""better schools at no cost.""","the title should be ""better schools at huge cost."""
3502,"the title should be ""better schools at huge cost.""",i can't believe that they would lie to us.
3503,i can't believe that they would lie to us.,of course they lieÂ—that's what politicians do!
3504,i have a stomachache.,is it something you ate?
3505,is it something you ate?,maybe. i'm not sure.
3506,maybe. i'm not sure.,what did you have for breakfast?
3507,what did you have for breakfast?,"the usual, cereal with milk and a banana."
3508,"the usual, cereal with milk and a banana.",maybe the milk was bad.
3509,maybe the milk was bad.,it didn't smell bad.
3510,it didn't smell bad.,maybe the banana was bad.
3511,maybe the banana was bad.,"no, the banana was delicious."
3512,"no, the banana was delicious.",maybe you just need to go to the bathroom.
3513,maybe you just need to go to the bathroom.,"no, that's not the problem."
3514,"no, that's not the problem.",maybe it will go away in a little while.
3515,what's this stain?,i don't know.
3516,i don't know.,it looks like blood.
3517,it looks like blood.,i think my nose was bleeding.
3518,i think my nose was bleeding.,you should wet your shirt immediately.
3519,you should wet your shirt immediately.,why?
3520,why?,because that gets the blood out of the shirt.
3521,because that gets the blood out of the shirt.,what's a little blood?
3522,what's a little blood?,your white shirt is ruined.
3523,your white shirt is ruined.,"so, i'll just buy another one."
3524,"so, i'll just buy another one.",you can wear this one around the house.
3525,you can wear this one around the house.,next time i'll soak it immediately.
3526,my fingers hurt.,why do they hurt?
3527,why do they hurt?,i type too much.
3528,i type too much.,you should take a break.
3529,you should take a break.,i need to type to make money.
3530,i need to type to make money.,but typing is causing you pain.
3531,but typing is causing you pain.,maybe i should see a doctor.
3532,maybe i should see a doctor.,doctors are too expensive.
3533,doctors are too expensive.,he might tell me to rest for a while.
3534,he might tell me to rest for a while.,he might want to cut you open.
3535,he might want to cut you open.,he might say i'm okay.
3536,he might say i'm okay.,he might say you have bone cancer.
3537,what did the doctor say?,he thinks i have too much stress.
3538,he thinks i have too much stress.,stress causes your stomachaches?
3539,stress causes your stomachaches?,stress causes different problems with different people.
3540,stress causes different problems with different people.,so what did he tell you to do?
3541,so what did he tell you to do?,he said i need to think positive.
3542,he said i need to think positive.,he didn't give you any medication?
3543,he didn't give you any medication?,i hate medication. it makes me feel different.
3544,i hate medication. it makes me feel different.,so how do you think positive?
3545,so how do you think positive?,i think about nice things.
3546,i think about nice things.,like what?
3547,like what?,"like a day at the beach, with my toes in the sand."
3548,i cut my finger.,how did you do that?
3549,how did you do that?,it's a paper cut.
3550,it's a paper cut.,paper can be dangerous.
3551,paper can be dangerous.,"it hurts, too."
3552,"it hurts, too.",paper cuts can hurt a lot.
3553,paper cuts can hurt a lot.,where are the band-aids?
3554,where are the band-aids?,i think they're in the medicine cabinet.
3555,i think they're in the medicine cabinet.,it's on the tip of my finger.
3556,it's on the tip of my finger.,a band-aid might not work.
3557,a band-aid might not work.,i must not use this finger until the cut heals.
3558,i must not use this finger until the cut heals.,it might take a day or two to heal.
3559,do you smell that?,"oh, yes."
3560,"oh, yes.",i can't stand cigarette smoke.
3561,i can't stand cigarette smoke.,it smells so bad.
3562,it smells so bad.,one cigarette stinks up the whole sidewalk.
3563,one cigarette stinks up the whole sidewalk.,smokers think they are so cool.
3564,smokers think they are so cool.,they are so weak.
3565,they are so weak.,a little cigarette controls them.
3566,a little cigarette controls them.,they look so stupid taking a puff.
3567,they look so stupid taking a puff.,and then they blow smoke out of their mouth.
3568,and then they blow smoke out of their mouth.,they think it's cool.
3569,they think it's cool.,cigarettes stink.
3570,do you have a cold?,"yes, i do."
3571,"yes, i do.",how did you get it?
3572,how did you get it?,my sister had a cold. she gave it to me.
3573,my sister had a cold. she gave it to me.,have you taken anything for your cold?
3574,have you taken anything for your cold?,"no, i just blow my nose a lot."
3575,"no, i just blow my nose a lot.",your nose is stopped up?
3576,your nose is stopped up?,yes. i have to breathe through my mouth.
3577,yes. i have to breathe through my mouth.,have you tried nose drops?
3578,have you tried nose drops?,"no, i don't like nose drops."
3579,"no, i don't like nose drops.",they work great.
3580,they work great.,i don't care. i don't like to put drops in my nose.
3581,"would you put suntan lotion on my back, please?",sure.
3582,sure.,thank you.
3583,thank you.,you shouldn't lie in the sun for too long.
3584,you shouldn't lie in the sun for too long.,i want to get a tan. i don't want to look so pale.
3585,i want to get a tan. i don't want to look so pale.,what's wrong with looking pale?
3586,what's wrong with looking pale?,people think you might be sick.
3587,people think you might be sick.,who thinks that?
3588,who thinks that?,i don't know.
3589,i don't know.,it's better to be pale than to have skin cancer.
3590,it's better to be pale than to have skin cancer.,i know that.
3591,i know that.,so why are you arguing with me? don't lie in the sun too long!
3592,i can't quit smoking.,of course you can.
3593,of course you can.,i don't have enough will power.
3594,i don't have enough will power.,of course you do.
3595,of course you do.,i wish i had never started.
3596,i wish i had never started.,so does every smoker.
3597,so does every smoker.,i've tried to quit so many times.
